cityID,time,t,fid,x,y,soil,PC1,PC2,PC3,PC4,es
0,2000,1,0,116.4104734,40.18506957,1377.630737,-0.815698238,1.536511563,0.988055503,-0.585875485,0.05006427027130585
1,2000,1,1,117.3328025,39.2945395,76.2983017,-0.699717761,1.370033088,-0.051716239,0.451360113,0.0
2,2000,1,2,115.0556983,38.8862,862.4343872,1.502045455,1.79861424,-1.087995918,-0.484638475,0.030243870349258784
3,2000,1,3,112.2910057,37.57371516,1548.781128,1.053278852,0.998062056,-3.699543872,-0.91915469,0.056648690362309226
4,2000,1,4,111.624073,41.58407166,274.7849731,1.333184257,1.455953183,-3.831734876,-0.643522763,0.007636089052011253
5,2000,1,5,124.0472795,41.55091067,1004.44043,0.78038775,2.855516918,0.049663845,0.7444028,0.03570706231623598
6,2000,1,6,126.1893961,43.66493432,1379.36792,1.145383524,3.722010488,-0.396349383,0.069500154,0.05013110238650066
7,2000,1,7,128.135853,46.95166178,776.6203613,3.650601793,2.546984485,-3.362816498,0.804260552,0.026942472129106058
8,2000,1,8,121.4151598,31.08465728,111.5914688,-0.393448308,-1.791260266,2.148229315,1.40516844,0.0013577826914130708
9,2000,1,9,120.5538215,32.20300618,217.8946381,2.625300403,-0.157773763,1.064639735,0.878102832,0.005447429928481045
10,2000,1,10,120.0709758,29.17555776,16730.69336,0.698100519,-0.654342924,-1.605154026,2.842298891,0.6407203207930613
11,2000,1,11,117.2258163,31.82631484,3807.433594,2.724196336,-0.223887637,-1.088836474,0.744901008,0.14354254195581637
12,2000,1,12,117.9817861,26.08380415,19069.95898,0.641097713,-1.128261065,-1.098937981,2.654562252,0.7307154850256774
13,2000,1,13,111.7080139,27.60713887,9049.914063,1.246567214,-1.376320128,-2.470315432,2.803991962,0.34522886896383587
14,2000,1,14,115.7205187,27.61361806,8347.225586,2.183920297,0.881885427,0.840261755,-1.123948359,0.31819535709955177
15,2000,1,15,118.1537918,36.35127141,643.3560181,3.180730765,0.459821727,-0.781666489,-1.249494242,0.02181558685789187
16,2000,1,16,113.6135136,33.88226127,1869.008423,2.558412231,-0.87737807,-0.862223055,0.970387951,0.06896832938016964
17,2000,1,17,112.268591,30.97568911,10162.56641,1.794602381,-0.684622575,-1.782096575,2.824627502,0.3880343245931418
18,2000,1,18,113.4276925,23.71031747,9235.192383,1.188744438,-0.891204642,-0.954963752,2.64557572,0.3523568123211803
19,2000,1,19,108.7866601,23.82858447,8459.984375,1.752937809,-0.693468701,-2.498811868,2.112955778,0.3225333620050084
20,2000,1,20,109.74311,19.19713384,8329.719727,0.468151615,-1.565008836,-3.709677591,2.034664418,0.3175218796448034
21,2000,1,21,107.8751823,30.05912925,16425.45313,2.56037373,0.677193667,-3.212939889,0.575637129,0.6289772573314389
22,2000,1,22,102.6923498,30.62979532,12352.95215,3.692125628,0.790228153,-1.848664036,0.608689123,0.4723018497167233
23,2000,1,23,106.8741124,26.81589901,9847.897461,2.27438377,0.04530281,-3.727921187,0.061687266,0.3759285237375042
24,2000,1,24,101.861664,24.22399975,18178.23047,2.172281597,0.862131511,-3.165365789,0.555937435,0.6964093108904135
25,2000,1,25,88.44235547,31.49119642,13288.9541,-2.301870189,-0.39059373,-3.247654333,-1.786699541,0.50831129152278
26,2000,1,26,108.367283,33.77575343,5807.493164,2.477099113,1.099328075,-3.242981444,-1.074488411,0.22048792513003054
27,2000,1,27,96.43045075,40.50407365,2537.303955,1.022665494,-0.217428819,-3.589181594,-1.5872545,0.09467869148871187
28,2000,1,28,96.03756481,35.67094527,2621.832031,-1.220826483,-2.327900271,-4.377215601,-2.214633163,0.09793061722850326
29,2000,1,29,105.9722025,37.19338985,447.0582581,0.91634831,0.418985096,-2.342139855,-0.779232672,0.014263708610865492
30,2000,1,30,85.19105645,41.11736074,1012.875244,-2.072692841,-1.938233369,1.300867458,-1.109676303,0.03603156264861019
0,2005,2,31,116.4104734,40.18506957,1661.123901,-3.657422957,-0.399848168,2.401134088,1.350113866,0.060970690489204823
1,2005,2,32,117.3328025,39.2945395,110.5732346,-3.537927007,-0.17302197,2.564802503,1.682527877,0.001318609647842129
2,2005,2,33,115.0556983,38.8862,962.6158447,0.327908327,1.708889559,-0.236917802,2.588451282,0.03409800587097665
3,2005,2,34,112.2910057,37.57371516,1386.205078,0.455310357,1.742899448,-2.379514027,1.310098941,0.05039413842303864
4,2005,2,35,111.624073,41.58407166,324.8308716,0.003664002,1.06811287,-2.604268974,0.10414934,0.009561432123858024
5,2005,2,36,124.0472795,41.55091067,2056.407715,0.241998647,2.204494397,1.026125179,-0.845575456,0.07617786980876619
6,2005,2,37,126.1893961,43.66493432,1759.015015,1.154420345,3.608638981,-0.61097382,-1.029866962,0.06473671295626598
7,2005,2,38,128.135853,46.95166178,684.1030884,2.680020177,1.766102439,-3.060066196,-0.992196423,0.023383189635573207
8,2005,2,39,121.4151598,31.08465728,98.75067902,-3.156404451,-3.828475468,4.166860928,-1.841805448,0.0008637776604121029
9,2005,2,40,120.5538215,32.20300618,229.3940887,1.758094175,-0.912556745,1.341988006,0.175994317,0.005889831567903187
10,2005,2,41,120.0709758,29.17555776,16105.63086,-1.495727993,-2.35134247,1.179431827,-2.0885678,0.6166732002513805
11,2005,2,42,117.2258163,31.82631484,3875.865723,2.502453212,-0.181377133,-0.969410981,0.643256194,0.14617523173481742
12,2005,2,43,117.9817861,26.08380415,20134.21289,-0.419994066,-2.501258138,0.556539529,-2.532666235,0.7716589779735428
13,2005,2,44,111.7080139,27.60713887,7904.827148,0.81509325,-2.318130634,-1.528662239,-3.511738513,0.3011756053690652
14,2005,2,45,115.7205187,27.61361806,8397.379883,0.513736977,0.51502154,2.118510067,2.429335429,0.3201248704292464
15,2005,2,46,118.1537918,36.35127141,793.2581177,2.931522907,0.810404122,-0.563239147,2.707014879,0.02758255233499574
16,2005,2,47,113.6135136,33.88226127,1704.25,1.57651449,-1.879135165,0.211793256,-1.467205809,0.06262981817826865
17,2005,2,48,112.268591,30.97568911,8052.287109,1.443305477,-1.714100024,-0.717335923,-2.783507109,0.30684861799938384
18,2005,2,49,113.4276925,23.71031747,8971.493164,0.851400372,-2.303508162,-0.515773622,-2.753433846,0.34221189576317196
19,2005,2,50,108.7866601,23.82858447,8787.291992,1.563839449,-1.712412033,-1.949422263,-2.206651904,0.33512539195434826
20,2005,2,51,109.74311,19.19713384,6227.504395,0.004578099,-2.89906355,-0.762739701,-2.712880811,0.23664640640305
21,2005,2,52,107.8751823,30.05912925,14526.48828,1.71376765,-0.021611556,-2.243000629,-1.070447307,0.5559211442989584
